date,equity,bond_long,commodity,gold,usd
2000-01-31,0.0022,-0.0038,0.0265,0.0119,0.0067
2000-02-29,-0.0147,-0.0161,0.0078,0.0043,-0.0055
2000-03-31,0.0005,0.0122,0.0119,-0.0088,-0.0008
2000-04-30,-0.0079,-0.0079,0.0008,-0.0023,-0.0126
2000-05-31,-0.0003,-0.0099,-0.0243,0.0229,0.0106
2000-06-30,-0.002,-0.0044,-0.0067,0.0192,0.0184
2000-07-31,0.0039,0.0055,0.0067,-0.0113,-0.0049
2000-08-31,0.0041,-0.0094,0.0027,0.0011,-0.0017
2000-09-30,0.0035,-0.0154,-0.0024,-0.0108,0.0088
2000-10-31,-0.0181,0.0068,0.0185,-0.001,-0.027
2000-11-30,-0.0008,-0.0052,-0.0057,-0.0031,0.0144
2000-12-31,0.0091,-0.0135,-0.0117,-0.0012,-0.003
2001-01-31,0.0069,-0.0092,0.0091,0.0215,0.0075
2001-02-28,0.0007,-0.0053,0.0002,0.0141,-0.0067
2001-03-31,0.0008,-0.0025,-0.0015,-0.0113,0.0031
2001-04-30,0.0018,0.0026,-0.0022,0.0148,-0.0086
2001-05-31,0.0185,-0.0193,0.0072,0.0075,-0.0084
2001-06-30,0.0045,0.0115,-0.0196,0.005,-0.025
2001-07-31,-0.0104,0.0157,-0.0056,-0.0116,-0.0017
2001-08-31,0.0188,-0.0183,-0.0107,0.0153,0.0192
2001-09-30,-0.0039,-0.0118,0.0205,0.0164,0.0077
2001-10-31,-0.0119,0.0007,-0.0025,0.0039,0.0158
2001-11-30,0.0043,-0.0091,0.0125,0.0039,0.0084
2001-12-31,0.0095,-0.0089,-0.002,-0.0045,-0.014
2002-01-31,-0.0022,0.0277,-0.0204,0.0006,0.0083
2002-02-28,-0.0047,0.0018,-0.0153,0.0033,-0.0056
2002-03-31,-0.0279,0.0152,0.0069,0.0015,0.0043
2002-04-30,0.0049,0.0057,0.0061,-0.002,0.0151
2002-05-31,-0.0024,0.0055,-0.016,0.0038,-0.0065
2002-06-30,-0.0115,-0.0045,-0.0142,0.0221,0.015
2002-07-31,0.0148,-0.0086,-0.0031,-0.0122,-0.0055
2002-08-31,-0.0128,0.0159,-0.008,0.0113,0.0072
2002-09-30,0.0203,-0.0114,0.0083,0.0119,-0.0088
2002-10-31,0.0084,0.0065,-0.0068,-0.008,-0.0066
2002-11-30,0.0199,0.0029,0.0032,-0.0078,-0.0076
2002-12-31,0.0113,-0.0108,-0.0069,0.0003,0.001
2003-01-31,-0.0002,0.0064,0.004,0.0071,-0.0104
2003-02-28,-0.0003,0.0141,0.006,-0.0142,0.0027
2003-03-31,-0.0163,0.0023,0.016,-0.0101,-0.0095
2003-04-30,0.012,-0.0139,-0.0093,0.0052,-0.0078
2003-05-31,0.0027,0.0087,0.0012,0.0018,-0.0051
2003-06-30,0.0092,-0.0001,0.0017,-0.0059,-0.0037
2003-07-31,-0.004,0.0006,-0.0109,-0.0121,0.0006
2003-08-31,0.0081,0.0086,-0.007,0.0031,0.0035
2003-09-30,0.0104,-0.0076,-0.001,0.0027,-0.0019
2003-10-31,-0.0152,0.0022,0.0198,-0.0045,-0.0092
2003-11-30,0.009,0.0037,0.0098,-0.0135,0.0056
2003-12-31,0.0105,-0.0008,0.0015,0.0095,0.0072
2004-01-31,-0.0076,0.0089,-0.0023,0.0001,-0.0006
2004-02-29,0.0015,0.0127,-0.0022,-0.0117,-0.0049
2004-03-31,0.0038,0.0132,0.005,-0.0088,0.0242
2004-04-30,0.0036,0.0137,-0.0022,0.0052,0.0081
2004-05-31,0.012,0.0117,0.0063,-0.0031,-0.0057
2004-06-30,0.0021,0.0105,-0.0043,0.0109,0.0149
2004-07-31,-0.0115,-0.0071,-0.0031,0.0035,-0.0045
2004-08-31,0.0103,0.0056,-0.0009,-0.0138,-0.0121
2004-09-30,-0.0013,-0.02,0.0092,-0.0009,0.0338
2004-10-31,0.0182,-0.0005,-0.0017,0.0108,0.0186
2004-11-30,-0.0218,-0.0166,-0.0065,0.0067,0.0068
2004-12-31,0.0049,-0.0109,-0.0231,0.0095,-0.0064
2005-01-31,-0.0262,0.0024,0.0084,-0.0002,-0.0026
2005-02-28,-0.0076,-0.0031,-0.0127,-0.0032,0.0072
2005-03-31,-0.0026,0.002,-0.0088,0.0021,-0.0188
2005-04-30,-0.0066,0.0143,-0.0133,-0.002,0.0061
2005-05-31,0.0047,-0.0049,-0.0052,-0.0159,0.0036
2005-06-30,0.0133,0.0019,0.0017,0.0069,0.0022
2005-07-31,-0.0143,0.0069,0.0044,0.0037,-0.0077
2005-08-31,0.0078,0.0049,-0.0031,0.0134,-0.0032
2005-09-30,-0.012,-0.0099,-0.0151,0.0079,-0.0169
2005-10-31,-0.0154,-0.0235,0.0019,0.0015,-0.0022
2005-11-30,-0.0125,-0.0149,0.0095,-0.0027,0.0038
2005-12-31,-0.0098,-0.0018,0.018,0.0085,-0.0038
2006-01-31,0.0026,-0.0064,0.0051,-0.0008,-0.0016
2006-02-28,0.003,-0.0142,-0.0052,-0.0115,-0.0163
2006-03-31,-0.0105,-0.003,-0.0039,0.0074,-0.0002
2006-04-30,-0.0174,0.0018,0.0131,-0.0078,0.0034
2006-05-31,-0.0059,-0.0038,-0.0078,-0.0159,-0.0047
2006-06-30,0.0017,-0.0088,-0.0071,-0.002,0.0017
2006-07-31,0.0025,-0.0029,-0.0021,0.0137,-0.0128
2006-08-31,0.0077,0.0073,0.0093,0.0,-0.0062
2006-09-30,0.0129,-0.0185,-0.0054,-0.0019,0.0115
2006-10-31,0.0058,-0.0136,0.0009,-0.004,-0.0078
2006-11-30,0.0111,-0.0172,0.0199,0.0106,0.0105
2006-12-31,-0.0042,-0.0045,-0.0108,-0.0028,0.0048
2007-01-31,0.0155,-0.0136,-0.0004,0.0011,-0.0138
2007-02-28,0.0074,-0.0092,0.001,-0.0018,-0.0084
2007-03-31,0.0004,-0.0035,-0.0011,-0.0074,0.0031
2007-04-30,0.0159,0.0007,0.0102,-0.0138,0.0018
2007-05-31,-0.0127,-0.0149,-0.0075,0.0122,0.0101
2007-06-30,-0.0003,-0.0148,-0.0024,0.0035,0.0027
2007-07-31,-0.0221,-0.0078,-0.0015,0.006,-0.0207
2007-08-31,-0.0061,0.0031,0.0073,0.0077,0.0073
2007-09-30,-0.0131,-0.017,-0.0055,0.0109,0.0156
2007-10-31,0.0015,0.0068,0.0019,-0.0046,0.0006
2007-11-30,0.0108,-0.0065,0.0139,-0.0022,0.0152
2007-12-31,-0.0201,0.0091,-0.01,-0.0132,0.0042
2008-01-31,0.0042,-0.005,-0.0179,0.0001,0.0011
2008-02-29,-0.0001,0.013,-0.0038,0.0195,0.0041
2008-03-31,-0.0086,-0.0125,-0.0062,-0.0025,0.0113
2008-04-30,0.0001,-0.0082,-0.0021,0.0075,0.0168
2008-05-31,0.0052,0.0111,-0.0034,0.0045,0.0137
2008-06-30,-0.0161,-0.0001,-0.012,0.0043,0.0132
2008-07-31,-0.0078,-0.0207,-0.0086,0.0094,0.006
2008-08-31,0.0036,0.0002,-0.0174,0.0053,-0.0081
2008-09-30,0.0222,0.0084,-0.0086,-0.0062,-0.0011
2008-10-31,-0.001,0.0136,-0.001,-0.0076,0.0184
2008-11-30,0.003,0.0098,-0.009,0.0032,0.0023
2008-12-31,-0.0155,0.022,0.0099,-0.0045,-0.0122
2009-01-31,0.0077,0.0024,0.0006,0.0012,0.0036
2009-02-28,0.0194,0.007,-0.0135,0.0128,0.0148
2009-03-31,0.037,-0.0101,-0.0005,-0.0217,0.0037
2009-04-30,0.0003,0.0202,-0.0106,-0.0179,-0.0067
2009-05-31,-0.0138,0.0083,-0.0234,-0.0007,-0.0228
2009-06-30,0.0027,0.0171,0.0011,-0.0096,-0.0023
2009-07-31,0.0059,0.0053,-0.016,0.005,-0.0289
2009-08-31,-0.001,-0.0043,0.0042,-0.0007,-0.0158
2009-09-30,-0.0052,0.0026,-0.0027,-0.0066,-0.0064
2009-10-31,0.0109,-0.0045,-0.0025,0.021,-0.0156
2009-11-30,-0.0155,0.0086,-0.0082,-0.0037,-0.0088
2009-12-31,-0.0005,0.0169,0.0069,0.0083,-0.0149
2010-01-31,-0.0105,-0.0274,-0.0089,0.0094,0.0048
2010-02-28,-0.0023,0.0009,-0.0093,0.0021,0.0077
2010-03-31,-0.0173,0.0042,0.0072,-0.004,0.0074
2010-04-30,0.026,0.0002,0.0022,-0.007,0.0025
2010-05-31,0.0014,0.0033,-0.0116,0.0026,0.0157
2010-06-30,0.0005,0.011,-0.0034,0.0082,0.0041
2010-07-31,-0.0143,0.0045,-0.0106,-0.0055,0.0035
2010-08-31,-0.0024,-0.0106,0.0103,0.0066,-0.0053
2010-09-30,-0.0211,-0.0003,-0.0044,0.0021,-0.0017
2010-10-31,-0.026,-0.003,-0.0026,0.0073,-0.005
2010-11-30,0.0108,-0.0184,0.0139,0.0018,0.0106
2010-12-31,-0.005,0.0118,-0.0028,-0.007,0.0171
2011-01-31,-0.0066,0.0022,0.0137,-0.0064,0.0088
2011-02-28,-0.0138,-0.0017,0.0024,-0.0112,-0.0052
2011-03-31,0.0063,0.0081,0.0013,0.0061,-0.0006
2011-04-30,0.0072,-0.0033,0.0045,0.015,-0.0057
2011-05-31,0.0102,-0.017,0.0187,-0.0003,-0.0006
2011-06-30,-0.0232,-0.0068,-0.0079,-0.0029,0.0001
2011-07-31,0.0063,-0.0006,0.0058,-0.0079,-0.0077
2011-08-31,0.0158,-0.0105,0.0214,0.0004,0.0007
2011-09-30,0.0096,0.0091,0.0038,-0.0012,-0.0002
2011-10-31,0.0033,0.005,0.005,0.0087,0.0164
2011-11-30,0.0046,-0.0012,-0.0102,-0.0239,0.0036
2011-12-31,0.0006,-0.0097,0.0074,0.0016,0.0108
2012-01-31,0.0031,-0.0122,0.0149,-0.0,0.0045
2012-02-29,-0.0021,-0.0113,0.0057,0.0022,0.0039
2012-03-31,0.0002,-0.0232,0.0004,0.01,-0.0039
2012-04-30,0.0005,0.0051,-0.0025,-0.0134,-0.0026
2012-05-31,-0.002,-0.0142,0.0027,0.0069,-0.0011
2012-06-30,0.0056,0.0138,0.0009,0.0049,-0.0059
2012-07-31,-0.0064,-0.0098,-0.0007,0.0058,0.0228
2012-08-31,-0.0058,-0.0077,0.0032,0.0062,0.0022
2012-09-30,0.0134,-0.0274,-0.0203,-0.0026,0.0108
2012-10-31,-0.013,-0.0326,0.009,0.005,-0.0108
2012-11-30,-0.0082,-0.0117,0.004,-0.0035,0.0044
2012-12-31,-0.028,-0.01,-0.0086,0.0003,-0.0056
2013-01-31,0.0074,-0.0194,0.0007,0.0057,0.0187
2013-02-28,-0.0064,0.0031,-0.0181,-0.0237,0.009
2013-03-31,-0.0027,0.0122,-0.0142,0.0056,0.0196
2013-04-30,0.0006,0.0038,-0.0007,-0.0151,0.0147
2013-05-31,-0.0105,0.0066,-0.0168,-0.0111,0.0158
2013-06-30,-0.0085,0.0166,-0.0023,-0.0176,0.0106
2013-07-31,-0.0115,0.0095,-0.0016,-0.0145,0.0035
2013-08-31,0.0161,0.0078,-0.0028,0.0117,0.0041
2013-09-30,-0.0039,-0.0077,-0.0002,0.0114,-0.0064
2013-10-31,0.0083,0.0025,-0.0118,0.011,-0.0009
2013-11-30,0.0019,0.0006,-0.0038,0.0059,0.0048
2013-12-31,-0.0252,-0.0076,0.0058,-0.0005,-0.0035
2014-01-31,-0.0182,-0.0072,-0.024,-0.0002,-0.0045
2014-02-28,-0.0135,0.0029,-0.0004,0.0216,-0.0139
2014-03-31,0.0087,0.0131,-0.012,0.0025,-0.0036
2014-04-30,-0.0,0.0183,0.0016,0.0054,-0.0037
2014-05-31,-0.0157,0.0009,0.0074,-0.0151,-0.0103
2014-06-30,0.0015,-0.0071,-0.0107,-0.0043,-0.0137
2014-07-31,-0.0084,0.0095,-0.0159,-0.0162,-0.0067
2014-08-31,0.0097,0.0002,-0.0076,0.0001,-0.0182
2014-09-30,0.0083,0.0057,-0.0071,0.0095,-0.0124
2014-10-31,0.0154,0.0032,-0.0064,-0.0009,-0.0025
2014-11-30,0.0171,-0.0094,-0.0106,0.0095,-0.0076
2014-12-31,0.0144,0.0181,-0.0069,0.0059,-0.0133
2015-01-31,0.0133,0.0029,0.0019,-0.0074,-0.0185
2015-02-28,0.011,-0.0198,-0.0059,0.0084,-0.0001
2015-03-31,0.0254,0.0109,-0.0091,-0.0007,-0.0025
2015-04-30,-0.0101,-0.0088,-0.008,-0.0213,-0.0014
2015-05-31,0.0029,-0.0161,0.0019,0.0063,0.0005
2015-06-30,0.0015,0.0065,0.0048,0.0023,-0.0098
2015-07-31,0.0068,0.0126,-0.0077,0.0203,-0.0066
2015-08-31,0.0035,-0.006,0.0008,-0.0179,-0.0065
2015-09-30,-0.0087,0.0022,0.0088,0.0061,-0.0244
2015-10-31,0.0216,0.0039,-0.0086,0.0014,0.0014
2015-11-30,-0.0066,0.0031,-0.0065,-0.0041,-0.0069
2015-12-31,-0.0154,0.0026,0.0037,0.0053,0.0085
2016-01-31,0.0012,-0.0041,0.0066,-0.0132,-0.0083
2016-02-29,-0.0127,0.0121,0.008,0.0054,0.0117
2016-03-31,-0.0127,0.0048,-0.0023,0.0091,0.0002
2016-04-30,-0.0085,0.0067,0.0081,-0.0059,0.001
2016-05-31,-0.0159,-0.0237,0.0017,0.007,0.0044
2016-06-30,-0.0252,-0.0024,-0.0222,0.0146,-0.009
2016-07-31,0.0066,0.0104,-0.0086,-0.0103,0.0055
2016-08-31,-0.0144,0.0017,-0.0041,-0.0138,-0.0203
2016-09-30,-0.0036,-0.0052,-0.0045,0.0109,0.0147
2016-10-31,-0.0082,-0.0033,0.0063,-0.0097,0.0051
2016-11-30,-0.0024,0.0065,-0.0177,-0.0038,-0.0061
2016-12-31,-0.0063,0.0041,0.0169,-0.0012,-0.0026
2017-01-31,0.0051,0.0018,0.0148,0.0065,-0.0094
2017-02-28,-0.0188,-0.0172,0.009,0.0153,0.0203
2017-03-31,0.004,0.0095,-0.0033,-0.0083,0.01
2017-04-30,0.0008,-0.0016,0.0066,0.0063,0.014
2017-05-31,0.0107,0.0023,0.0133,0.008,-0.0039
2017-06-30,0.0064,-0.0175,0.0154,-0.0092,0.0033
2017-07-31,-0.0087,0.0016,0.0046,-0.0134,0.0043
2017-08-31,-0.0051,0.0046,0.005,0.0063,-0.0098
2017-09-30,-0.0044,-0.0091,0.0136,0.019,-0.0086
2017-10-31,0.0129,-0.0264,-0.007,-0.0074,-0.0142
2017-11-30,-0.0132,-0.0007,0.0027,0.0059,0.006
2017-12-31,0.0056,0.0018,0.0041,-0.0099,0.0096
2018-01-31,-0.0029,-0.0141,0.0029,-0.0071,-0.0052
2018-02-28,0.0063,-0.0011,-0.0045,-0.0029,0.0098
2018-03-31,0.0076,0.0164,0.0161,0.0135,-0.0147
2018-04-30,0.0098,-0.0045,-0.0014,0.0038,0.0087
2018-05-31,0.0065,-0.0124,0.0113,-0.0041,0.0017
2018-06-30,-0.0024,-0.0053,0.0112,-0.008,0.0192
2018-07-31,-0.0155,-0.0086,0.007,0.0084,-0.0009
2018-08-31,0.0012,0.002,0.0007,0.0166,0.0078
2018-09-30,0.0094,-0.0111,0.0019,-0.0001,-0.0103
2018-10-31,0.0032,-0.0062,0.0069,-0.0106,0.0173
2018-11-30,-0.0105,0.002,0.0079,-0.0055,0.009
2018-12-31,-0.0148,0.0149,-0.0002,-0.0055,-0.0022
2019-01-31,0.0046,-0.0049,-0.0082,-0.0016,-0.0106
2019-02-28,0.0139,-0.0041,0.0072,0.0028,-0.0084
2019-03-31,-0.005,0.0099,-0.0034,0.0128,0.0119
2019-04-30,0.0037,-0.0021,-0.0126,-0.0052,0.0038
2019-05-31,-0.0004,-0.0189,-0.0023,0.0026,-0.0008
2019-06-30,0.0069,0.0074,0.0106,-0.0012,0.0114
2019-07-31,0.0104,0.0165,-0.0138,-0.0015,-0.0015
2019-08-31,-0.0008,0.0104,-0.0116,0.0016,-0.0183
2019-09-30,0.0092,-0.0015,-0.0029,-0.0022,0.0132
2019-10-31,-0.033,0.0034,-0.0048,-0.0038,0.0188
2019-11-30,-0.0128,0.0113,-0.0004,0.0133,-0.0054
2019-12-31,-0.0103,0.0144,0.0,-0.0149,-0.0044
2020-01-31,0.0018,0.0116,-0.0112,-0.0288,0.0059
2020-02-29,-0.0132,-0.0172,-0.0329,0.0083,0.0016
2020-03-31,-0.0021,0.0167,0.0036,0.0161,-0.014
2020-04-30,0.0009,-0.0137,-0.0051,-0.0027,0.0059
2020-05-31,0.0027,0.0084,0.0041,0.0212,-0.0039
2020-06-30,-0.0062,0.0044,-0.011,0.0143,-0.0039
2020-07-31,-0.0016,-0.0031,0.0042,-0.0023,-0.0078
2020-08-31,0.0215,-0.0072,-0.0026,0.0057,-0.0179
2020-09-30,0.0102,-0.0094,0.0053,-0.0105,0.0051
2020-10-31,0.0168,0.0096,-0.0003,-0.0033,-0.0077
2020-11-30,0.0207,-0.0062,-0.0131,0.0057,-0.01
2020-12-31,-0.0035,-0.0137,-0.0074,-0.0018,0.0004
2021-01-31,0.0153,0.0059,-0.0043,-0.0029,0.0032
2021-02-28,0.0181,0.0019,-0.0069,-0.0108,-0.0163
2021-03-31,0.0115,0.0064,0.0038,-0.0021,0.0125
2021-04-30,-0.0007,0.0102,-0.0021,-0.0068,0.0046
2021-05-31,0.0074,0.0043,-0.0006,-0.0009,0.0228
2021-06-30,0.0141,0.0081,-0.0,0.0097,0.0044
2021-07-31,0.0015,-0.0021,-0.0016,-0.0319,0.0017
2021-08-31,-0.0047,0.017,-0.0003,-0.0119,-0.0006
2021-09-30,-0.0114,0.0059,0.0007,0.0097,-0.0076
2021-10-31,-0.0016,-0.0124,0.0052,0.0055,0.0056
2021-11-30,-0.0029,0.0055,0.0146,-0.0024,0.0024
2021-12-31,-0.0147,-0.0073,-0.0001,0.0117,-0.0013
2022-01-31,-0.007,-0.0027,-0.0061,0.0037,-0.0134
2022-02-28,0.0076,-0.0054,0.0069,-0.0118,0.0084
2022-03-31,0.001,0.005,-0.01,0.0034,-0.0099
2022-04-30,-0.0085,0.0113,0.0083,0.0011,-0.0078
2022-05-31,0.0005,0.0009,-0.0225,0.0118,0.0018
2022-06-30,0.0062,-0.0105,-0.0308,0.0068,0.0049
2022-07-31,-0.0224,-0.0097,0.0289,0.0009,0.0102
2022-08-31,-0.0145,-0.0212,-0.0001,0.0012,-0.0013
2022-09-30,-0.0085,0.0019,0.0004,-0.0089,0.0073
2022-10-31,-0.026,-0.0217,0.0095,0.0087,0.0016
2022-11-30,-0.0195,-0.0087,-0.0003,-0.0125,-0.0055
2022-12-31,0.002,0.0122,-0.0017,0.0108,-0.0176
2023-01-31,0.0031,-0.0106,0.0057,0.0006,0.0144
2023-02-28,-0.0111,0.0032,0.002,0.0013,-0.001
2023-03-31,-0.0098,-0.0036,0.0043,0.0051,0.0013
2023-04-30,0.0077,0.0054,-0.0055,0.0112,-0.0118
2023-05-31,0.0065,0.002,-0.0141,0.0033,-0.0049
2023-06-30,-0.0062,0.009,-0.0015,-0.0058,0.0003
2023-07-31,0.0089,-0.0061,0.0166,0.0075,-0.0225
2023-08-31,-0.0027,-0.0104,0.0097,-0.0242,0.0246
2023-09-30,0.0082,-0.0033,0.0166,0.0255,0.0077
2023-10-31,0.0125,-0.0034,0.0033,-0.0028,-0.0093
2023-11-30,-0.004,-0.0181,0.0038,-0.0148,0.0009
2023-12-31,0.0023,-0.0029,-0.0009,0.0328,0.0127
2024-01-31,-0.0103,-0.0017,-0.002,-0.008,-0.0141
2024-02-29,0.0059,-0.0105,0.0135,0.0122,0.0132
2024-03-31,-0.0078,0.0015,0.0099,-0.0024,-0.008
2024-04-30,0.0189,-0.0004,0.0097,-0.0057,-0.0121
2024-05-31,-0.0038,-0.0034,-0.0076,0.0026,-0.0165
2024-06-30,-0.0104,0.0052,0.0087,-0.001,-0.0104
2024-07-31,-0.0106,-0.0046,0.0068,0.0093,-0.0049
2024-08-31,-0.0129,0.0024,-0.0082,-0.005,0.0137
2024-09-30,0.0059,0.0019,-0.0131,0.0025,0.0114
2024-10-31,-0.0071,0.0144,0.0122,0.0172,0.0042
2024-11-30,0.0017,0.0156,0.0034,-0.0043,-0.0031
2024-12-31,-0.0025,-0.0109,-0.0029,0.0118,-0.0203
2025-01-31,0.0099,0.0136,-0.0064,0.0063,0.0018
2025-02-28,0.0065,0.0126,-0.0161,0.0068,-0.0001
2025-03-31,-0.0052,-0.0042,0.015,0.0114,-0.0054
2025-04-30,-0.0193,-0.0005,0.0015,0.0034,0.0145
2025-05-31,0.0022,0.0132,0.0001,-0.0129,-0.0
2025-06-30,0.0053,0.0031,0.0016,-0.0023,-0.0085
2025-07-31,-0.006,0.0067,-0.0103,-0.0016,-0.0078
2025-08-31,0.0072,0.0006,0.0106,0.016,0.0005
2025-09-30,-0.0132,-0.0174,-0.0189,-0.0132,0.0148
2025-10-31,-0.001,0.0072,-0.0266,-0.0116,0.0096
2025-11-30,0.0018,0.0016,0.0011,0.0165,-0.0018
2025-12-31,0.0007,0.0047,0.0192,-0.021,0.0068
